title,type,question,A,B,C,D,E,F,G,H,I ,J,K,L,M,N,answer,image
Growing Up,radio,青少年,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,A,,,,,
,radio,身高,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,B,,,,,
,radio,体重,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,C,,,,,
,radio,改变,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,D,,,,,
,radio,回忆,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,E,,,,,
,radio,责任,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,F,,,,,
,radio,独立的,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,G,,,,,
,radio,志愿,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,H,,,,,
,radio,梦想,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,I,,,,,
,radio,才华,teenager,height,weight,change,memory,responsibility,independent,ambition,dream,talent,J,,,,,
,radio,习惯,habit,manners,respect,decision,responsibility,independent,ambition,height,weight,talent,K,,,,,
,radio,礼貌,habit,manners,respect,decision,responsibility,independent,ambition,height,weight,talent,L,,,,,
,radio,尊重,habit,manners,respect,decision,responsibility,independent,ambition,height,weight,talent,M,,,,,
,radio,决定,habit,manners,respect,decision,responsibility,independent,ambition,height,weight,talent,N,,,,,
