title,type,question,A,B,C,D,E,F,G,H,I ,J,K,L,M,N,answer,image
Sport,radio,比赛,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,A,,,,,
,radio,练习,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,B,,,,,
,radio,器材,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,C,,,,,
,radio,制服；队服,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,D,,,,,
,radio,哨子,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,E,,,,,
,radio,队长,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,F,,,,,
,radio,支持者,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,G,,,,,
,radio,比赛,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,H,,,,,
,radio,训练,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,I,,,,,
,radio,体育场,competition,practice,equipment,uniform,whistle,captain,supporter,match,training,stadium,J,,,,,
,radio,分数,score,winner,referee,exercise,equipment,uniform,whistle,captain,competition,supporter,K,,,,,
,radio,优胜者,score,winner,referee,exercise,equipment,uniform,whistle,captain,competition,supporter,L,,,,,
,radio,裁判,score,winner,referee,exercise,equipment,uniform,whistle,captain,competition,supporter,M,,,,,
,radio,运动,score,winner,referee,exercise,equipment,uniform,whistle,captain,competition,supporter,N,,,,,
