title,type,question,A,B,C,D,E,F,G,H,I ,J,K,L,M,N,answer,image
Wild Life,radio,森林,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,A,,,,,
,radio,丛林,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,B,,,,,
,radio,栖息地,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,C,,,,,
,radio,野生动物,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,D,,,,,
,radio,昆虫,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,E,,,,,
,radio,爬行动物,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,F,,,,,
,radio,哺乳动物,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,G,,,,,
,radio,羽毛,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,H,,,,,
,radio,爪,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,I,,,,,
,radio,翅膀,forest,jungle,habitat,wildlife,insect,reptile,mammal,feather,claw,wing,J,,,,,
,radio,尾巴,tail,trunk,stripe,spot,habitat,wildlife,insect,reptile,mammal,claw,K,,,,,
,radio,象鼻,tail,trunk,stripe,spot,habitat,wildlife,insect,reptile,mammal,claw,L,,,,,
,radio,条纹,tail,trunk,stripe,spot,habitat,wildlife,insect,reptile,mammal,claw,M,,,,,
,radio,斑点,tail,trunk,stripe,spot,habitat,wildlife,insect,reptile,mammal,claw,N,,,,,
