title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Growing Up,radio,童年,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,A,
,radio,发展；成长,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,B,
,radio,性格,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,C,
,radio,自信,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,D,
,radio,成熟,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,E,
,radio,经验,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,F,
,radio,成就,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,G,
,radio,动力,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,H,
,radio,自制力,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,I,
,radio,毅力,childhood,development,personality,confidence,maturity,experience,achievement,motivation,self-control,perseverance,J,
