title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Days,radio,日子,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,A,
,radio,星期,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,B,
,radio,星期一,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,C,
,radio,星期二,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,D,
,radio,星期三,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,E,
,radio,星期四,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,F,
,radio,星期五,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,G,
,radio,星期六,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,H,
,radio,今天,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,I,
,radio,明天,day,week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,today,tomorrow,J,
,radio,昨天,yesterday,month,year,date,holiday,birthday,today,tomorrow,day,week,A,
,radio,月份,yesterday,month,year,date,holiday,birthday,today,tomorrow,day,week,B,
,radio,年份,yesterday,month,year,date,holiday,birthday,today,tomorrow,day,week,C,
,radio,日期,yesterday,month,year,date,holiday,birthday,today,tomorrow,day,week,D,
,radio,假期,yesterday,month,year,date,holiday,birthday,today,tomorrow,day,week,E,
,radio,生日,yesterday,month,year,date,holiday,birthday,today,tomorrow,day,week,F,
