title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Food and Health,radio,消化,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,A,
,radio,脱水,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,B,
,radio,处方,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,C,
,radio,过敏,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,D,
,radio,分量,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,E,
,radio,营养,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,F,
,radio,均衡饮食,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,G,
,radio,材料,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,H,
,radio,感染,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,I,
,radio,免疫系统,digestion,dehydration,prescription,allergy,portion,nutrition,balanced diet,ingredient,infection,immune system,J,
