title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Sport,radio,运动,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,A,
,radio,足球,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,B,
,radio,羽毛球,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,C,
,radio,跑步,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,D,
,radio,跳,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,E,
,radio,队伍,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,F,
,radio,教练,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,G,
,radio,球员；选手,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,H,
,radio,游泳,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,I,
,radio,骑脚车,sport,football,badminton,running,jump,team,coach,player,swimming,cycling,J,
,radio,篮球,basketball,tennis,racket,ball,goal,medal,coach,player,swimming,cycling,A,
,radio,网球,basketball,tennis,racket,ball,goal,medal,coach,player,swimming,cycling,B,
,radio,球拍,basketball,tennis,racket,ball,goal,medal,coach,player,swimming,cycling,C,
,radio,球,basketball,tennis,racket,ball,goal,medal,coach,player,swimming,cycling,D,
,radio,球门；进球,basketball,tennis,racket,ball,goal,medal,coach,player,swimming,cycling,E,
,radio,奖牌,basketball,tennis,racket,ball,goal,medal,coach,player,swimming,cycling,F,
