title,type,question,A,B,C,D,E,F,G,H,I ,J,K,L,M,N,answer,image
Days,radio,星期日,Sunday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,A,,,,,
,radio,早上,Monday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,B,,,,,
,radio,下午,Tuesday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,C,,,,,
,radio,傍晚,Wednesday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,D,,,,,
,radio,夜晚,Thursday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,E,,,,,
,radio,日历,Friday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,F,,,,,
,radio,时间表,Saturday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,G,,,,,
,radio,时间表,Sunday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,H,,,,,
,radio,平日,Monday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,I,,,,,
,radio,周末,Tuesday,morning,afternoon,evening,night,calendar,schedule,timetable,weekday,weekend,J,,,,,
,radio,节日,festival,celebration,prepare,activity,afternoon,bridge,calendar,schedule,timetable,weekday,K,,,,,
,radio,庆祝会,festival,celebration,prepare,activity,afternoon,bridge,calendar,schedule,timetable,weekday,L,,,,,
,radio,准备,festival,celebration,prepare,activity,afternoon,bridge,calendar,schedule,timetable,weekday,M,,,,,
,radio,活动,festival,celebration,prepare,activity,afternoon,bridge,calendar,schedule,timetable,weekday,N,,,,,
