title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Learning World,radio,学习,learn,teacher,pupil,class,book,page,write,read,pen,pencil,A,
,radio,老师,learn,teacher,pupil,class,book,page,write,read,pen,pencil,B,
,radio,学生,learn,teacher,pupil,class,book,page,write,read,pen,pencil,C,
,radio,班级；课,learn,teacher,pupil,class,book,page,write,read,pen,pencil,D,
,radio,书,learn,teacher,pupil,class,book,page,write,read,pen,pencil,E,
,radio,页,learn,teacher,pupil,class,book,page,write,read,pen,pencil,F,
,radio,写,learn,teacher,pupil,class,book,page,write,read,pen,pencil,G,
,radio,阅读,learn,teacher,pupil,class,book,page,write,read,pen,pencil,H,
,radio,钢笔,learn,teacher,pupil,class,book,page,write,read,pen,pencil,I,
,radio,铅笔,learn,teacher,pupil,class,book,page,write,read,pen,pencil,J,
,radio,橡皮擦,eraser,ruler,bag,desk,chair,exam,pupil,class,book,page,A,
,radio,尺,eraser,ruler,bag,desk,chair,exam,pupil,class,book,page,B,
,radio,书包,eraser,ruler,bag,desk,chair,exam,pupil,class,book,page,C,
,radio,书桌,eraser,ruler,bag,desk,chair,exam,pupil,class,book,page,D,
,radio,椅子,eraser,ruler,bag,desk,chair,exam,pupil,class,book,page,E,
,radio,考试,eraser,ruler,bag,desk,chair,exam,pupil,class,book,page,F,
