title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Food and Health,radio,食物,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,A,
,radio,米饭,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,B,
,radio,面包,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,C,
,radio,牛奶,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,D,
,radio,水,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,E,
,radio,水果,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,F,
,radio,蔬菜,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,G,
,radio,肉,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,H,
,radio,鸡蛋,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,I,
,radio,鸡肉,food,rice,bread,milk,water,fruit,vegetable,meat,egg,chicken,J,
,radio,鱼,fish,apple,banana,carrot,soup,juice,vegetable,meat,egg,chicken,A,
,radio,苹果,fish,apple,banana,carrot,soup,juice,vegetable,meat,egg,chicken,B,
,radio,香蕉,fish,apple,banana,carrot,soup,juice,vegetable,meat,egg,chicken,C,
,radio,红萝卜,fish,apple,banana,carrot,soup,juice,vegetable,meat,egg,chicken,D,
,radio,汤,fish,apple,banana,carrot,soup,juice,vegetable,meat,egg,chicken,E,
,radio,果汁,fish,apple,banana,carrot,soup,juice,vegetable,meat,egg,chicken,F,
