title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Days,radio,约会；预约,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,A,
,radio,日常作息,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,B,
,radio,准时的,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,C,
,radio,截止日期,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,D,
,radio,场合；特别事件,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,E,
,radio,周年纪念,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,F,
,radio,邀请,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,G,
,radio,延期,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,H,
,radio,持续时间,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,I,
,radio,频率,appointment,routine,punctual,deadline,occasion,anniversary,invitation,postpone,duration,frequency,J,
