title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Sport,radio,锦标赛,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,A,
,radio,锦标赛；比赛,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,B,
,radio,运动精神,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,C,
,radio,耐力,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,D,
,radio,成就,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,E,
,radio,纪律,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,F,
,radio,决心,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,G,
,radio,协调能力,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,H,
,radio,策略,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,I,
,radio,对手,championship,tournament,sportsmanship,endurance,achievement,discipline,determination,coordination,strategy,opponent,J,
