title,type,question,A,B,C,D,E,F,G,H,I ,J,K,L,M,N,answer,image
Food and Health,radio,早餐,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,A,,,,,
,radio,午餐,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,B,,,,,
,radio,晚餐,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,C,,,,,
,radio,健康的,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,D,,,,,
,radio,药,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,E,,,,,
,radio,医生,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,F,,,,,
,radio,运动,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,G,,,,,
,radio,维他命,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,H,,,,,
,radio,蛋白质,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,I,,,,,
,radio,钙,breakfast,lunch,dinner,healthy,medicine,doctor,exercise,vitamin,protein,calcium,J,,,,,
,radio,肚子痛,stomach ache,toothache,fever,hygiene,healthy,medicine,doctor,exercise,vitamin,protein,K,,,,,
,radio,牙痛,stomach ache,toothache,fever,hygiene,healthy,medicine,doctor,exercise,vitamin,protein,L,,,,,
,radio,发烧,stomach ache,toothache,fever,hygiene,healthy,medicine,doctor,exercise,vitamin,protein,M,,,,,
,radio,卫生,stomach ache,toothache,fever,hygiene,healthy,medicine,doctor,exercise,vitamin,protein,N,,,,,
